"Year","Yearly","Total"
"2009","68.0","762.0"
"2008","79.0","694.0"
"2007","79.0","615.0"
"2006","82.0","536.0"
"2005","62.0","454.0"
"2004","49.0","392.0"
"2003","64.0","343.0"
"2002","38.0","279.0"
"2001","39.0","241.0"
"2000","46.0","202.0"
"1999","45.0","156.0"
"1998","30.0","111.0"
"1997","46.0","81.0"
"1996","14.0","35.0"
"1995","9.0","21.0"
"1994","4.0","12.0"
"1993","0.0","8.0"
"1992","0.0","8.0"
"1991","1.0","8.0"
"1990","0.0","7.0"
"1989","0.0","7.0"
"1988","0.0","7.0"
"1987","3.0","7.0"
"1986","2.0","4.0"
"1985","0.0","2.0"
"1984","0.0","2.0"
"1983","0.0","2.0"
"1982","0.0","2.0"
"1981","0.0","2.0"
"1980","0.0","2.0"
"1979","0.0","2.0"
"1978","2.0","2.0"
"1977","0.0","0.0"
"1976","0.0","0.0"
"1975","0.0","0.0"
"1974","0.0","0.0"
"1973","0.0","0.0"
"1972","0.0","0.0"
